time,counts
0,0
1,16
2,30
3,50
4,61
5,84
6,96
7,109
8,126
9,146
10,151
11,166
12,174
13,182
14,206
15,216
16,221
17,231
18,246
19,260
20,269
21,282
22,306
23,312
24,321
25,328
26,344
27,359
28,372
29,379
30,389
33,426
36,450
39,480
42,496
45,516
48,534
51,566
54,571
57,586
60,617
63,638
66,652
69,672
72,689
75,706
78,720
81,730
84,748
87,757
90,769
93,776
96,789
99,801
102,806
105,817
108,827
111,837
114,842
117,848
120,861
123,869
126,876
129,879
139,902
149,929
159,947
169,969
179,986
189,998
199,1016
209,1036
219,1059
229,1076
239,1092
249,1106
259,1119
269,1140
279,1159
289,1178
299,1188
309,1199
